,t ,Position of mouse(left axis),Position of mouse(left axis),Velocity of mouse(left axis),Velocity of mouse(left axis),pfb,plr,vpfb,vplr,,,Position of pepper(right axis),Position of pepper(right axis),Velocity of pepper(right axis),Velocity of pepper(right axis),Command of velocity(left axis),Command of velocity(left axis),speed of pepper,upper_limit,lower_limit
0,1.03E-05,960,444,0,0,0,0,,,,,0,0,,,,,,,
1,1.66E-05,960,439,0.196078431,0,0,0,,,,,0,0,,,,,,,
2,0.29813551,959,435,0.156862745,0.039215686,0,0,,,,,0,0,,,,,,,
3,0.376130022,959,434,0.039215686,0,0,0,,,,,0,0,,,,,,,
4,0.44485364,959,433,0.039215686,0,0,0,,,,,0,0,,,,,,,
5,0.529390362,959,431,0.078431373,0,0,0,,,,,0,0,,,,,,,
6,0.607612034,959,431,0,0,0.000437491,-8.19E-05,,,,,-0.000437491,8.19E-05,,,,,,,
7,0.686225212,959,430,0.039215686,0,0.001499951,-9.00E-05,,,,,-0.001499951,9.00E-05,,,,,,,
8,0.752042366,959,429,0.039215686,0,0.002737433,6.59E-06,,,,,-0.002737433,-6.59E-06,,,,,,,
9,0.830149866,959,428,0.039215686,0,0.003949888,5.90E-05,,,,,-0.003949888,-5.90E-05,,,,,,,
10,0.930103842,959,425,0.117647059,0,0.005012341,9.66E-05,,,,,-0.005012341,-9.66E-05,,,,,,,
11,1.030241125,959,420,0.196078431,0,0.005837321,0.000112057,,,,,-0.005837321,-0.000112057,,,,,,,
12,1.095840996,959,418,0.078431373,0,0.006599851,6.03E-05,,,,,-0.006599851,-6.03E-05,,,,,,,
13,1.17138139,959,417,0.039215686,0,0.007762291,9.81E-05,,,,,-0.007762291,-9.81E-05,,,,,,,
14,1.246613636,959,415,0.078431373,0,0.00892476,9.13E-05,,,,,-0.00892476,-9.13E-05,,,,,,,
15,1.331603888,959,414,0.039215686,0,0.011137187,8.49E-05,,,,,-0.011137187,-8.49E-05,,,,,,,
16,1.409698351,959,414,0,0,0.013787098,0.000115901,,,,,-0.013787098,-0.000115901,,,,,,,
